leds[0][0].brightness, 0x00,
leds[3][5].vy, 0x00000000,
leds[3][5].rx, 0x00000000,
leds[3][5].ry, 0x00000000,
leds[3][6].brightness, 0x28,
leds[3][6].vx, 0x00000000,
leds[3][6].vy, 0x00000000,
leds[3][6].rx, 0x00000000,
leds[3][6].ry, 0x00000000,
leds[3][7].brightness, 0x28,
leds[3][7].vx, 0x00000000,
leds[3][7].vy, 0x00000000,
leds[3][7].rx, 0x00000000,
leds[3][7].ry, 0x00000000,
leds[3][8].brightness, 0x28,
leds[3][8].vx, 0x00000000,
leds[3][8].vy, 0x00000000,
leds[3][8].rx, 0x00000000,
leds[3][8].ry, 0x00000000,
leds[3][9].brightness, 0x28,
leds[3][9].vx, 0x00000000,
leds[3][9].vy, 0x00000000,
leds[3][9].rx, 0x00000000,
leds[3][9].ry, 0x00000000,
leds[3][10].brightness, 0x28,
leds[3][10].vx, 0x00000000,
leds[3][10].vy, 0x00000000,
leds[3][10].rx, 0x00000000,
leds[3][10].ry, 0x00000000,
leds[3][11].brightness, 0x28,
leds[3][11].vx, 0x00000000,
leds[3][11].vy, 0x00000000,
leds[3][11].rx, 0x00000000,
leds[3][11].ry, 0x00000000,
leds[3][12].brightness, 0x00,
leds[3][12].vx, 0x00000000,
leds[3][12].vy, 0x00000000,
leds[3][12].rx, 0x00000000,
leds[3][12].ry, 0x00000000,
leds[3][13].brightness, 0x00,
leds[3][13].vx, 0x00000000,
leds[3][13].vy, 0x00000000,
leds[3][13].rx, 0x00000000,
leds[3][13].ry, 0x00000000,
leds[3][14].brightness, 0x00,
leds[3][14].vx, 0x00000000,
leds[3][14].vy, 0x00000000,
leds[3][14].rx, 0x00000000,
leds[3][14].ry, 0x00000000,
leds[3][15].brightness, 0x00,
leds[3][15].vx, 0x00000000,
leds[3][15].vy, 0x00000000,
leds[3][15].rx, 0x00000000,
leds[3][15].ry, 0x00000000,
leds[4][0].brightness, 0x00,
leds[4][0].vx, 0x00000000,
leds[4][0].vy, 0x00000000,
leds[4][0].rx, 0x00000000,
leds[4][0].ry, 0x00000000,
leds[4][1].brightness, 0x00,
leds[4][1].vx, 0x00000000,
